0.25 2.4 
0.25 2.37 
0.258635 2.34127 
0.271537 2.31419 
0.282518 2.28627 
0.301168 2.26277 
0.294667 2.23348 
0.303136 2.2047 
0.299526 2.17492 
0.292476 2.14576 
0.318842 2.13145 
0.312152 2.1022 
0.318716 2.07293 
0.329339 2.04488 
0.332299 2.01502 
0.324925 1.98594 
0.331745 1.95673 
0.325773 1.92733 
0.342752 1.90259 
0.350069 1.8735 
0.349506 1.84351 
0.3574 1.81456 
0.370935 1.78779 
0.400315 1.78172 
0.400403 1.75172 
0.402839 1.72182 
0.396875 1.69242 
0.393588 1.6626 
0.418468 1.64584 
0.41896 1.61584 
0.413138 1.58641 
0.406035 1.55727 
0.395342 1.52924 
0.391216 1.49952 
0.38094 1.47134 
0.387589 1.44208 
0.382586 1.4125 
0.387206 1.38286 
0.4066 1.35997 
0.402899 1.3302 
0.423956 1.30883 
0.426029 1.2789 
0.415808 1.2507 
0.427673 1.22315 
0.418261 1.19466 
0.392035 1.18009 
0.363947 1.17308 
0.364184 1.14308 
0.358678 1.11359 
0.349972 1.08488 
0.34302 1.05569 
0.352227 1.02714 
0.340357 0.99959 
0.337358 0.96974 
0.33436 0.939891 
0.346318 0.912377 
0.353199 0.883176 
0.380084 0.869867 
0.386418 0.840543 
0.389986 0.810756 
0.384189 0.781321 
0.376012 0.752457 
0.387956 0.724937 
0.381489 0.695642 
0.395335 0.669029 
0.420652 0.652933 
0.432829 0.625516 
0.422972 0.597181 
0.396962 0.582232 
0.373636 0.563366 
0.352932 0.541656 
0.323728 0.548521 
0.321649 0.518594 
0.316906 0.488971 
0.309251 0.461745 
0.284965 0.444133 
0.271168 0.417494 
0.260207 0.389568 
0.266804 0.360302 
0.259767 0.331139 
0.2585 0.301166 
0.254438 0.271442 
0.253662 0.241452 
0.253555 0.211452 
0.252598 0.181467 
0.251642 0.151483 
0.250686 0.121498 
0.25 0.1 

